patch,agent,pre_patch_matches,post_patch_matches,old_delta,blops_delta,model_a_error,model_b_error,model_c_error
12.08,Clove,0,2,0.0,0.0,45.42926581171493,45.30930543374022,45.30930543374022
12.08,Iso,3,5,0.0,0.0,29.521723323359474,29.62230811266433,29.62230811266433
12.08,Miks,0,1,0.0,0.0,13.457204670151867,12.885849441501392,12.885849441501392
12.09,Omen,206,188,0.0,0.0,33.74698885491098,33.713409185941764,33.713409185823
12.09,Cypher,82,75,0.0,0.0,38.959468024228805,39.059603186065075,39.059603186065075
12.09,Astra,55,64,0.0,0.0,38.33532169923211,38.522853407249116,38.522853407249116
12.09,Breach,7,12,0.0,0.0,23.41974331806927,23.47060196830161,23.47060196830161
12.09,Neon,230,73,0.0,0.2821983194444444,47.502034334334866,47.423551851124394,47.735015782579794
12.09,Chamber,42,36,0.0,0.0,34.11072440104185,34.00655845062289,34.00655845062289
12.09,Fade,123,104,0.0,0.0,33.642464062350236,33.67701012774178,33.67701012774178
12.09,Viper,118,109,0.0,0.0,36.09544206834587,36.09518402505158,36.096500577736045
12.09,Raze,69,77,0.0,0.0,40.776494183109676,40.75972432921447,40.75972432922218
12.09,Jett,71,126,0.0,0.0,42.95802230600097,43.009909607821605,43.009909607858226
12.09,Skye,50,37,0.0,0.0,33.10000212045222,33.0625047331886,33.062504733253114
12.09,Brimstone,17,18,0.0,0.0,40.80216851441915,40.838015434332156,40.838015434332156
12.09,Waylay,30,49,0.0,0.0,44.58325980965173,44.75490109277301,44.75490109277301
12.09,Tejo,15,15,0.0,0.0,24.010083852360697,24.250409804220673,24.250409804220673
12.09,Phoenix,88,88,0.0,0.0,42.51767689899216,42.54152367675114,42.54152367675114
12.09,Sova,115,133,0.0,0.0,32.52593564641405,32.53269131430575,32.53269131430415
12.09,Vyse,67,72,0.0,0.0,37.575486133381844,37.69144077627174,37.69144077627174
12.09,Killjoy,19,35,0.0,0.0,46.541021885178885,46.66270126784666,46.66229859888307
12.09,Kayo,28,28,0.0,0.0,34.850684528818434,34.89234763703236,34.89234763703236
12.09,Harbor,22,31,0.0,0.0,31.049002256008638,31.177449609498513,31.177449609498513
12.09,Iso,5,8,0.0,0.0,46.4686607576047,46.530368643286536,46.530368643286536
12.09,Deadlock,1,9,0.0,0.0,47.82040067122702,47.9709108367647,47.9709108367647
